start	end	tumor	normal
10570001	10580000	55	186
10580001	10590000	83	183
10590001	10600000	72	167
10600001	10610000	82	202
10610001	10620000	70	170
10620001	10630000	90	152
10630001	10640000	58	171
10640001	10650000	77	207
10650001	10660000	86	175
10660001	10670000	72	177
10670001	10680000	66	182
10680001	10690000	92	192
10690001	10700000	76	172
10700001	10710000	81	186
10710001	10720000	82	213
10720001	10730000	59	176
10730001	10740000	83	174
10740001	10750000	86	186
10750001	10760000	71	178
10760001	10770000	81	178
10770001	10780000	77	187
10780001	10790000	84	207
10790001	10800000	85	182
10800001	10810000	79	175
10810001	10820000	86	168
10820001	10830000	88	180
10830001	10840000	80	189
10840001	10850000	62	187
10850001	10860000	80	208
10860001	10870000	79	197
10870001	10880000	68	191
10880001	10890000	86	165
10890001	10900000	69	217
10900001	10910000	62	228
10910001	10920000	80	176
10920001	10930000	56	202
10930001	10940000	68	199
10940001	10950000	93	196
10950001	10960000	85	186
10960001	10970000	83	180
10970001	10980000	64	202
10980001	10990000	75	170
10990001	11000000	83	198
11000001	11010000	78	212
11010001	11020000	78	195
11020001	11030000	72	171
11030001	11040000	80	191
11040001	11050000	97	180
11050001	11060000	74	160
11060001	11070000	92	186
11070001	11080000	82	184
11080001	11090000	72	198
11090001	11100000	95	204
11100001	11110000	77	182
11110001	11120000	66	189
11120001	11130000	70	174
11130001	11140000	81	172
11140001	11150000	88	179
11150001	11160000	76	182
11160001	11170000	80	181
11170001	11180000	87	193
11180001	11190000	67	163
11190001	11200000	64	201
11200001	11210000	70	160
11210001	11220000	80	187
11220001	11230000	71	162
11230001	11240000	76	170
11240001	11250000	107	173
11250001	11260000	76	196
11260001	11270000	90	164
11270001	11280000	75	144
11280001	11290000	68	167
11290001	11300000	74	155
11300001	11310000	84	192
11310001	11320000	64	197
11320001	11330000	87	185
11330001	11340000	79	179
11340001	11350000	82	176
11350001	11360000	81	170
11360001	11370000	71	192
11370001	11380000	62	177
11380001	11390000	70	174
11390001	11400000	76	177
11400001	11410000	78	198
11410001	11420000	83	196
11420001	11430000	92	183
11430001	11440000	62	152
11440001	11450000	69	184
11450001	11460000	69	194
11460001	11470000	61	167
11470001	11480000	66	183
11480001	11490000	93	194
11490001	11500000	61	182
11500001	11510000	75	187
11510001	11520000	89	187
11520001	11530000	76	187
11530001	11540000	62	181
11540001	11550000	76	206
11550001	11560000	60	179
11560001	11570000	92	207
11570001	11580000	83	216
11580001	11590000	63	214
11590001	11600000	69	186
11600001	11610000	77	179
11610001	11620000	67	203
11620001	11630000	67	178
11630001	11640000	82	174
11640001	11650000	75	190
11650001	11660000	57	178
11660001	11670000	67	161
11670001	11680000	78	197
11680001	11690000	75	183
11690001	11700000	91	181
11700001	11710000	57	170
11710001	11720000	71	165
11720001	11730000	80	161
11730001	11740000	96	221
11740001	11750000	80	211
11750001	11760000	55	158
11760001	11770000	75	179
11770001	11780000	85	198
11780001	11790000	80	197
11790001	11800000	86	192
